"SEN","16/02/2026","10","2379.019","4994.9998","24.5219","1053.2628","21534.7496","233.2473","364.8853","2967.7008","762.3306","2306.7647","1364.2558"
"SEN","16/02/2026","11","2722.1245","5449.03","22.7208","1052.5751","21027.0226","253.6049","332.3027","2816.0474","761.9541","2184.0867","1402.124"
"SEN","16/02/2026","12","3046.9099","5576.0932","25.5225","1052.3422","20939.7574","349.2783","305.6184","2778.3687","761.9783","2130.5372","1493.1719"
"SEN","16/02/2026","13","3064.7263","5433.6671","25.0099","1051.7712","21214.1005","348.3429","352.4953","2789.0903","762.2684","2122.9184","1497.5294"
"SEN","16/02/2026","14","3199.2842","5305.5829","24.7247","1051.3116","21375.7409","412.699","325.0473","3218.4806","761.9301","2054.193","1469.5811"
"SEN","16/02/2026","15","3396.6192","5303.2692","25.894","1048.3713","21465.0907","442.864","336.7386","3409.5754","761.3971","2057.4586","1449.8281"
"SEN","16/02/2026","16","3751.0139","4887.1105","24.877","1178.0329","21689.5436","438.5723","339.2255","3689.7013","760.9662","2228.3724","1442.0581"
"SEN","16/02/2026","17","4167.9244","4263.9849","24.4201","1365.2971","22213.0424","472.4974","346.4104","3348.6973","760.656","2608.6608","1461.4118"
"SEN","16/02/2026","18","4393.9022","2611.8849","16.0767","1381.1383","23045.2241","504.571","350.1959","4238.4449","760.6558","2801.3784","1684.2745"
"SEN","16/02/2026","19","4450.1417","302.5267","19.9309","1271.9376","24632.057","512.7049","350.4628","5473.2273","760.492","2987.9479","1797.3558"
"SEN","16/02/2026","20","4261.8566","22.8905","22.6726","1088.0887","25052.3294","421.2085","351.1979","6774.325","760.2992","3071.5274","1840.659"
"SEN","16/02/2026","21","4070.6374","16.0244","19.737","1144.0232","25077.25","413.0461","352.137","6666.4566","759.7333","3093.5663","1848.4471"
"SEN","16/02/2026","22","4100.0745","10.1585","24.6807","1173.9619","24916.4996","355.4669","354.2706","5757.6484","759.4992","3004.9332","1809.232"
"SEN","16/02/2026","23","4199.9544","10.1327","22.3799","1164.8254","24560.8117","288.7643","355.3255","4558.2797","759.7189","2840.3157","1783.1086"
"SEN","16/02/2026","24","3985.5816","6.2127","18.8003","986.0865","24232.7732","254.2562","352.8886","3526.5577","758.9362","2777.6382","1747.9442"
"SEN","17/02/2026","1","3958.4249","0.4537","19.074","853.4312","23763.7894","242.5072","353.6644","2626.1839","760.1021","2437.0426","1173.8804"
"SEN","17/02/2026","2","3816.6806","0.0887","22.4638","848.0244","23149.5617","221.868","353.12","2035.713","760.4051","2365.9032","1164.7444"
"SEN","17/02/2026","3","3709.9924","0.0872","21.7708","848.9766","22856.3297","228.0747","353.6285","1685.9502","760.8709","2371.2005","1159.3504"
"SEN","17/02/2026","4","3777.9772","0.0858","25.0019","847.4581","22558.8022","225.9869","353.6861","1450.7338","760.6933","2394.8016","1123.6853"
"SEN","17/02/2026","5","3809.8394","0.0868","22.6915","846.3138","22611.2254","247.7278","353.3814","1347.9737","760.5649","2444.0424","1059.0974"
"SEN","17/02/2026","6","3895.1344","0.0876","25.3467","846.7474","23003.0918","244.948","353.7767","1462.3434","760.7733","2441.4475","1066.3375"
"SEN","17/02/2026","7","4044.3466","8.0283","25.5501","846.9899","23861.5442","282.8153","354.722","1863.503","760.7309","2506.9079","1087.0649"
"SEN","17/02/2026","8","3983.0116","419.7478","24.6285","846.5523","23950.0864","275.7398","355.2634","2401.6323","760.8832","2560.3314","1132.6828"
"SEN","17/02/2026","9","3738.2023","3175.0103","25.2321","841.579","22271.5599","237.1295","355.6607","2599.0189","761.1272","2574.3021","1087.9829"
"SEN","17/02/2026","10","3599.2477","5335.652","23.5742","846.4285","21087.5738","224.9545","352.0009","2082.0641","762.3836","2543.5525","1070.319"
"SEN","17/02/2026","11","3460.0916","5917.0715","25.184","883.4631","20433.1821","206.043","349.0429","2290.2404","764.9303","2592.1487","1085.1713"
"SEN","17/02/2026","12","3362.9724","5974.302","20.3988","895.6859","20377.534","210.6448","351.7697","2667.8297","764.2708","2585.9244","1081.0221"
"SEN","17/02/2026","13","3262.6368","5959.5528","25.2579","905.2863","20358.4004","222.7817","350.9014","3138.6577","814.0361","2602.8519","1074.7342"
"SEN","17/02/2026","14","3204.3193","5712.2731","24.6778","926.0712","20257.2342","202.8413","354.0182","3889.4261","873.262","2392.6622","1083.3349"
"SEN","17/02/2026","15","3145.989","5641.6763","23.791","963.6692","20513.9873","215.9397","354.3645","4362.0476","930.6505","2266.5631","1090.6721"
"SEN","17/02/2026","16","3248.2808","5566.8007","23.2055","1107.4423","21149.1144","240.8969","357.2518","4629.6206","950.7095","2325.4123","1098.3765"
"SEN","17/02/2026","17","3369.1913","5376.6862","22.6686","1158.1261","21961.6602","256.8821","356.7667","4403.1972","951.9009","2501.8935","1102.451"
"SEN","17/02/2026","18","3308.0576","3505.2751","25.2976","1161.2329","23632.5187","278.2016","355.0465","4893.9759","1029.2325","2706.2443","1122.0117"
"SEN","17/02/2026","19","3283.3199","535.3846","25.1387","1252.8222","25598.0197","304.9579","357.5166","5736.8765","1068.847","2961.4155","1274.1543"
"SEN","17/02/2026","20","3329.7989","25.5082","21.6284","1451.4208","26204.9332","313.0862","358.5619","5719.3467","1079.0989","3239.5242","1820.4711"
"SEN","17/02/2026","21","3224.6473","15.8671","22.3721","1493.1904","26330.2865","318.8868","359.6998","5165.691","1124.0823","3303.3476","2036.6693"
"SEN","17/02/2026","22","3224.6787","10.1884","25.3642","1441.4268","26049.1655","294.0717","360.0686","4858.6173","1192.895","3144.6789","1689.278"
"SEN","17/02/2026","23","3222.3706","8.9274","24.7487","1154.989","25700.3353","268.3145","360.4569","4424.1535","1238.6499","2981.3545","1429.4321"
"SEN","17/02/2026","24","3079.8483","3.4364","23.3779","1007.244","24463.6858","269.0121","360.2901","3753.132","1321.9624","2968.7123","1179.5837"
"SEN","18/02/2026","1","3138.8962","0.2047","25.43","992.7258","23512.4334","314.1242","360.1696","3152.0998","1347.3552","2860.1186","938.8888"
"SEN","18/02/2026","2","3106.4744","0.1038","25.2555","923.6313","22843.7128","300.6837","359.8615","2683.2526","1386.231","2763.1427","929.8385"
"SEN","18/02/2026","3","2996.2886","0.098","24.5895","923.6812","22451.0888","274.0961","360.5666","2346.1983","1409.657","2716.9942","928.7722"
"SEN","18/02/2026","4","2860.6288","0.0988","21.4762","922.7666","22683.838","281.4698","360.6803","1816.433","1427.6667","2715.6009","928.3071"
"SEN","18/02/2026","5","2692.4942","0.0998","24.8179","964.7882","23180.7993","278.9538","361.0656","1296.0012","1442.3264","2749.4368","895.4782"
"SEN","18/02/2026","6","2613.909","0.0988","24.0435","1000.9593","23700.4634","275.3275","360.2938","1393.2199","1460.3244","2894.4868","902.0388"
"SEN","18/02/2026","7","2683.3206","11.8545","24.3235","1001.6488","24409.0575","283.7447","358.7896","1983.1541","1478.8447","2903.3967","921.9829"
"SEN","18/02/2026","8","2553.5334","465.7638","25.8153","1002.0864","24753.4008","290.2231","359.9484","2633.1324","1483.5565","2800.7035","982.8596"
"SEN","18/02/2026","9","2028.584","3294.4548","21.7677","964.6706","23286.9331","288.7296","359.1079","2738.3527","1473.3237","2716.0492","986.0108"
"SEN","18/02/2026","10","1728.75","5635.0828","18.9939","920.5753","22137.8957","300.9977","356.1568","2746.5598","1450.1279","2609.5814","1002.3365"
"SEN","18/02/2026","11","1247.5419","5943.8267","23.6921","920.069","22162.6765","341.4304","354.4983","2863.5513","1435.2487","2595.6934","1010.1225"
